"value","unit","charge_id","timestamp"
"8800","Wh","21977","2024-06-07 09:51:21+00"
"9000","Wh","21977","2024-06-07 09:52:21+00"
"9200","Wh","21977","2024-06-07 09:53:21+00"
"9300","Wh","21977","2024-06-07 09:54:21+00"
"9500","Wh","21977","2024-06-07 09:55:21+00"
"9700","Wh","21977","2024-06-07 09:56:21+00"
"9900","Wh","21977","2024-06-07 09:57:20+00"
"10100","Wh","21977","2024-06-07 09:58:20+00"
"10200","Wh","21977","2024-06-07 09:59:20+00"
"10400","Wh","21977","2024-06-07 10:00:20+00"
"10600","Wh","21977","2024-06-07 10:01:20+00"
"10800","Wh","21977","2024-06-07 10:02:20+00"
"10900","Wh","21977","2024-06-07 10:03:21+00"
"11100","Wh","21977","2024-06-07 10:04:21+00"
"11300","Wh","21977","2024-06-07 10:05:21+00"
"11500","Wh","21977","2024-06-07 10:06:22+00"
"11600","Wh","21977","2024-06-07 10:07:22+00"
"11800","Wh","21977","2024-06-07 10:08:22+00"
"12000","Wh","21977","2024-06-07 10:09:22+00"
"12200","Wh","21977","2024-06-07 10:10:22+00"
"12300","Wh","21977","2024-06-07 10:11:22+00"
"12500","Wh","21977","2024-06-07 10:12:22+00"
"12700","Wh","21977","2024-06-07 10:13:22+00"
"12900","Wh","21977","2024-06-07 10:14:22+00"
"13000","Wh","21977","2024-06-07 10:15:22+00"
"13200","Wh","21977","2024-06-07 10:16:22+00"
"13400","Wh","21977","2024-06-07 10:17:22+00"
"13600","Wh","21977","2024-06-07 10:18:22+00"
"13700","Wh","21977","2024-06-07 10:19:22+00"
"13900","Wh","21977","2024-06-07 10:20:22+00"
"14100","Wh","21977","2024-06-07 10:21:22+00"
"14300","Wh","21977","2024-06-07 10:22:22+00"
"14500","Wh","21977","2024-06-07 10:23:22+00"
"14600","Wh","21977","2024-06-07 10:24:22+00"
"14800","Wh","21977","2024-06-07 10:25:22+00"
"15000","Wh","21977","2024-06-07 10:26:21+00"
"15200","Wh","21977","2024-06-07 10:27:21+00"
"15300","Wh","21977","2024-06-07 10:28:22+00"
"15500","Wh","21977","2024-06-07 10:29:21+00"
"15700","Wh","21977","2024-06-07 10:30:21+00"
"15900","Wh","21977","2024-06-07 10:31:21+00"
"16000","Wh","21977","2024-06-07 10:32:21+00"
"16200","Wh","21977","2024-06-07 10:33:21+00"
"16400","Wh","21977","2024-06-07 10:34:21+00"
"16600","Wh","21977","2024-06-07 10:35:21+00"
"16800","Wh","21977","2024-06-07 10:36:21+00"
"16900","Wh","21977","2024-06-07 10:37:21+00"
"17100","Wh","21977","2024-06-07 10:38:21+00"
"17300","Wh","21977","2024-06-07 10:39:21+00"
"17500","Wh","21977","2024-06-07 10:40:21+00"
"17700","Wh","21977","2024-06-07 10:41:21+00"
"17800","Wh","21977","2024-06-07 10:42:21+00"
"18000","Wh","21977","2024-06-07 10:43:21+00"
"18200","Wh","21977","2024-06-07 10:44:21+00"
"18400","Wh","21977","2024-06-07 10:45:21+00"
"18500","Wh","21977","2024-06-07 10:46:22+00"
"18700","Wh","21977","2024-06-07 10:47:22+00"
"18900","Wh","21977","2024-06-07 10:48:22+00"
"19100","Wh","21977","2024-06-07 10:49:22+00"
"19300","Wh","21977","2024-06-07 10:50:22+00"
"19400","Wh","21977","2024-06-07 10:51:22+00"
"19600","Wh","21977","2024-06-07 10:52:22+00"
"19800","Wh","21977","2024-06-07 10:53:22+00"
"20000","Wh","21977","2024-06-07 10:54:22+00"
"20100","Wh","21977","2024-06-07 10:55:22+00"
"20300","Wh","21977","2024-06-07 10:56:22+00"
"20500","Wh","21977","2024-06-07 10:57:22+00"
"20700","Wh","21977","2024-06-07 10:58:22+00"
"20900","Wh","21977","2024-06-07 10:59:22+00"
"21000","Wh","21977","2024-06-07 11:00:22+00"
"21200","Wh","21977","2024-06-07 11:01:22+00"
"21400","Wh","21977","2024-06-07 11:02:22+00"
"21600","Wh","21977","2024-06-07 11:03:22+00"
"21800","Wh","21977","2024-06-07 11:04:22+00"
"21900","Wh","21977","2024-06-07 11:05:22+00"
"22100","Wh","21977","2024-06-07 11:06:22+00"
"22300","Wh","21977","2024-06-07 11:07:22+00"
"22500","Wh","21977","2024-06-07 11:08:22+00"
"22600","Wh","21977","2024-06-07 11:09:22+00"
"22800","Wh","21977","2024-06-07 11:10:22+00"
"23000","Wh","21977","2024-06-07 11:11:22+00"
"23200","Wh","21977","2024-06-07 11:12:22+00"
"23400","Wh","21977","2024-06-07 11:13:22+00"
"23500","Wh","21977","2024-06-07 11:14:21+00"
"23700","Wh","21977","2024-06-07 11:15:22+00"
"23900","Wh","21977","2024-06-07 11:16:22+00"
"24100","Wh","21977","2024-06-07 11:17:22+00"
"24300","Wh","21977","2024-06-07 11:18:22+00"
"24400","Wh","21977","2024-06-07 11:19:22+00"
"24600","Wh","21977","2024-06-07 11:20:22+00"
"24800","Wh","21977","2024-06-07 11:21:22+00"
"25000","Wh","21977","2024-06-07 11:22:22+00"
"25200","Wh","21977","2024-06-07 11:23:22+00"
"25300","Wh","21977","2024-06-07 11:24:22+00"
"25500","Wh","21977","2024-06-07 11:25:22+00"
"25700","Wh","21977","2024-06-07 11:26:22+00"
"25900","Wh","21977","2024-06-07 11:27:22+00"
"26000","Wh","21977","2024-06-07 11:28:23+00"
"26200","Wh","21977","2024-06-07 11:29:22+00"
"26400","Wh","21977","2024-06-07 11:30:22+00"
"26600","Wh","21977","2024-06-07 11:31:23+00"
"26600","Wh","21977","2024-06-07 11:31:23+00"
"26800","Wh","21977","2024-06-07 11:32:23+00"
"26900","Wh","21977","2024-06-07 11:33:23+00"
"27100","Wh","21977","2024-06-07 11:34:23+00"
"27300","Wh","21977","2024-06-07 11:35:23+00"
"27500","Wh","21977","2024-06-07 11:36:23+00"
"27700","Wh","21977","2024-06-07 11:37:23+00"
"27800","Wh","21977","2024-06-07 11:38:23+00"
"28000","Wh","21977","2024-06-07 11:39:23+00"
"28200","Wh","21977","2024-06-07 11:40:22+00"
"28400","Wh","21977","2024-06-07 11:41:22+00"
"28500","Wh","21977","2024-06-07 11:42:22+00"
"28700","Wh","21977","2024-06-07 11:43:22+00"
"28900","Wh","21977","2024-06-07 11:44:22+00"
"29100","Wh","21977","2024-06-07 11:45:22+00"
"29300","Wh","21977","2024-06-07 11:46:22+00"
"29400","Wh","21977","2024-06-07 11:47:22+00"
"29600","Wh","21977","2024-06-07 11:48:22+00"
"29800","Wh","21977","2024-06-07 11:49:22+00"
"30000","Wh","21977","2024-06-07 11:50:22+00"
"30200","Wh","21977","2024-06-07 11:51:22+00"
"30300","Wh","21977","2024-06-07 11:52:22+00"
"30500","Wh","21977","2024-06-07 11:53:22+00"
"30700","Wh","21977","2024-06-07 11:54:22+00"
"30900","Wh","21977","2024-06-07 11:55:22+00"
"31100","Wh","21977","2024-06-07 11:56:22+00"
"31200","Wh","21977","2024-06-07 11:57:22+00"
"31400","Wh","21977","2024-06-07 11:58:22+00"
"31600","Wh","21977","2024-06-07 11:59:22+00"
"31800","Wh","21977","2024-06-07 12:00:22+00"
"32000","Wh","21977","2024-06-07 12:01:22+00"
"32100","Wh","21977","2024-06-07 12:02:23+00"
"32300","Wh","21977","2024-06-07 12:03:22+00"
